positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
数据分析助理,4k-7k,"['电商', '数据分析']",1年以下,五险一金 员工福利,不限,全职,['数据分析'],深圳,深圳光速生长文化传播有限公司,光速生长,[],少于15人,南山区,不需要融资,"电商,文娱丨内容",['科技园'],开发|测试|运维类,数据开发,数据分析,22.522776,113.936407,0,0
数据分析实习生,2k-4k,['数据分析'],应届毕业生,上市公司、牛人多、氛围好、,本科,实习,['数据分析'],深圳,北京国双科技有限公司,Gridsum 国双,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",500-2000人,福田区,上市公司,"数据服务,企业服务","['岗厦', '皇岗', '莲花二村']",产品|需求|项目类,数据分析,数据分析,22.543462,114.068588,1,100
金融业务数据分析师,20k-40k,"['移动互联网', '数据分析', 'Spark', 'Hadoop']",3-5年,"大平台,给力薪酬,海景办公楼,高配健身房",本科,全职,"['数据分析', 'Spark', 'Hadoop']",深圳,OPPO广东移动通信有限公司,OPPO,"['丰厚年终', '扁平管理', '追求极致', '本分']",2000人以上,南山区,不需要融资,硬件,,开发|测试|运维类,数据开发,数据分析,22.518785,113.943044,1,0
数据分析实习生,4k-6k,['大数据'],应届毕业生,"成长空间大,大牛云集,海景办公室,包午餐",本科,实习,[],深圳,深圳码隆科技有限公司,码隆科技,"['技术大牛集聚', '扁平管理', '五险一金', '领导好']",50-150人,盐田区,B轮,移动互联网,['沙头角'],开发|测试|运维类,数据开发,数据采集,22.553311,114.232178,1,100
互联网金融数据分析师,12k-20k,"['金融', '风控', '分析师', '策略设计']",3-5年,"年终奖丰富,六险一金 团队NICE",本科,全职,"['风控', '分析师', '策略设计']",深圳,中腾信金融信息服务（上海）有限公司,中腾信,"['节日礼物', '年底多薪', '绩效奖金', '岗位晋升']",2000人以上,南山区,不需要融资,金融,"['白石洲', '大冲', '科技园']",金融类,互联网金融,分析师,22.540772,113.953243,0,0
数据分析实习生,4k-7k,"['数据仓库', '数据分析', '数据压缩', 'MongoDB']",不限,早九晚六 五险一金 周末双休,大专,全职,"['数据仓库', '数据分析', '数据压缩', 'MongoDB']",深圳,深圳恒实网络科技有限公司,恒实网络,[],50-150人,宝安区,未融资,移动互联网,,开发|测试|运维类,数据开发,数据分析,22.557769,113.894488,0,0
数据分析实习生,3k-6k,"['Hadoop', '算法', '数据架构']",不限,"周末双休,团队奖,前腾讯团队,绩效奖",本科,全职,"['Hadoop', '算法', '数据架构']",深圳,深圳市利讯互联网金融服务有限公司,利讯金服,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",15-50人,南山区,A轮,金融,"['后海', '深圳湾', '科技园']",开发|测试|运维类,数据开发,数据分析,22.522782,113.939885,0,0
高级数据分析师（数据治理方向）,20k-40k,"['其他', '数据分析']",5-10年,发展空间大,本科,全职,['数据分析'],深圳,润联软件系统（深圳）有限公司,华润集团总部信息化团队,[],150-500人,南山区,不需要融资,移动互联网,,开发|测试|运维类,数据开发,数据分析,22.5385,113.936539,1,1
中级数据分析师（Tableau方向）,10k-15k,['可视化'],3-5年,发展前景良好,本科,全职,['可视化'],深圳,深圳市优阅达数据科技有限公司,优阅达,"['技能培训', '节日礼物', '年底双薪', '带薪年假']",15-50人,龙岗区,不需要融资,"企业服务,数据服务",['坂田'],产品|需求|项目类,数据分析,数据分析,22.656008,114.060912,0,0
用户增长数据分析经理,30k-60k,"['MySQL', '数据分析', '数据处理', 'ETL']",5-10年,大平台,本科,全职,"['MySQL', '数据分析', '数据处理', 'ETL']",深圳,腾讯科技（深圳）有限公司,腾讯,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,南山区,上市公司,社交,,开发|测试|运维类,数据开发,数据分析,22.540719,113.93362,1,35
